Section;Sequence;Full Index;Item Code;Item Revision;Item Description;Quantity;Master PDO;CO;FMO;Action;Comment;Whse;Issue Type;Legacy PO;SAP PO;SubCon PO;Master PDO Status;Assembly Drwg;Assembly Drwg Rev
01 - Vessel External;;01:080;903G581;2;Chuck port blanking flanges;1;6973;1111;0;Procure New;Quantity Increased;Pennine;FF;;;;In Assembly;;
01 - Vessel External;01:010 - Vessel Assembly with Roof Tracks K5-Expert;01:010;910G556-1650;0;Vessel Assembly with Roof Tracks K5-Expert;1;6973;0;0;;;Pennine;FF;;;;In Assembly;435G294;
01 - Vessel External;01:010 - Vessel Assembly with Roof Tracks K5-Expert;01:010:M002;419G478-1650;2;Roof Track Beam;1;7566;0;0;;;Pennine;FF;;3742;;Built;435G150;
01 - Vessel External;01:010 - Vessel Assembly with Roof Tracks K5-Expert;01:010:M003;419G479-1650;1;Roof Track Beam;1;7566;0;0;;;Pennine;FF;;3742;;Built;435G150;
01 - Vessel External;01:010 - Vessel Assembly with Roof Tracks K5-Expert;01:010:M004;402G660;2;Roof Track End Plate;1;7566;0;0;;;Pennine;FF;;3742;;Built;435G150;
01 - Vessel External;01:010 - Vessel Assembly with Roof Tracks K5-Expert;01:010:M005;403G770;0;Runway Beam Packer;12;7566;0;0;;;Pennine;FF;;3742;;Built;435G150;
01 - Vessel External;01:010 - Vessel Assembly with Roof Tracks K5-Expert;01:010:M006;432G568;0;4IN Vent Diffuser;1;7566;0;0;;;Pennine;FF;;3739;;Built;435G150;
01 - Vessel External;01:010 - Vessel Assembly with Roof Tracks K5-Expert;01:010:M007;303G349-IT.C;0;Electrical Leadthrough Flange;2;7566;0;0;;;Pennine;FF;;3739;;Built;435G150;
01 - Vessel External;01:010 - Vessel Assembly with Roof Tracks K5-Expert;01:010:M009;411G663;0;Roof Track End Plate;1;7566;0;0;;;Pennine;FF;;3742;;Built;435G150;
01 - Vessel External;01:010 - Vessel Assembly with Roof Tracks K5-Expert;01:010:M010;412G277;1;COVER PLATE;2;7566;0;0;;;Pennine;FF;;3742;;Built;435G150;
01 - Vessel External;01:010 - Vessel Assembly with Roof Tracks K5-Expert;01:010:M011;419G997;0;TRANSPORT BRACKET;2;7566;0;0;;;Pennine;FF;;3742;;Built;435G150;
01 - Vessel External;01:010 - Vessel Assembly with Roof Tracks K5-Expert;01:010:M012;420G364-IT1;0;TRANSPORT BRACKET;1;7566;0;0;;;Pennine;FF;;3742;;Built;435G150;
01 - Vessel External;01:010 - Vessel Assembly with Roof Tracks K5-Expert;01:010:M013;420G364-IT2;0;TRANSPORT BRACKET;1;7566;0;0;;;Pennine;FF;;3742;;Built;435G150;
01 - Vessel External;01:010 - Vessel Assembly with Roof Tracks K5-Expert;01:010:M014;422G946;0;Blanking Plate;1;7566;0;0;;;Pennine;FF;;3739;;Built;435G150;
01 - Vessel External;01:010 - Vessel Assembly with Roof Tracks K5-Expert;01:010:M015;423G930;0;Cable Ladder Bracket;2;7566;0;0;;;Pennine;FF;;4169;;Built;435G150;
01 - Vessel External;01:010 - Vessel Assembly with Roof Tracks K5-Expert;01:010:M016;427G928-IT1;0;Cable Tray Bracket;3;7566;0;0;;;Pennine;FF;;4169;;Built;435G150;
01 - Vessel External;01:010 - Vessel Assembly with Roof Tracks K5-Expert;01:010:M017;427G928-IT3;0;Cable Tray Bracket;1;7566;0;0;;;Pennine;FF;;4169;;Built;435G150;
01 - Vessel External;01:010 - Vessel Assembly with Roof Tracks K5-Expert;01:010:B001;239250;0;Seal O Ring RM0793-57 Nitrile;2;7566;0;0;;;Pennine;C;;;;Built;435G150;
01 - Vessel External;01:010 - Vessel Assembly with Roof Tracks K5-Expert;01:010:B002;239204;0;Seal O Ring RM3393-57 Nitrile;1;7566;0;0;;;Pennine;C;;;;Built;435G150;
01 - Vessel External;01:010 - Vessel Assembly with Roof Tracks K5-Expert;01:010:B003;6131478G;0;SW4 Hold Down Bracket HDG;4;7566;0;0;;;Pennine;FF;;4129;;Built;435G150;
01 - Vessel External;01:010 - Vessel Assembly with Roof Tracks K5-Expert;01:010:S001;421575;1;Bolt HEXHD M12x35 GRADE 8.8;8;7566;0;0;;;Pennine;C;;;;Built;435G150;
01 - Vessel External;01:010 - Vessel Assembly with Roof Tracks K5-Expert;01:010:S002;421574;0;Bolt HEXHD M20x50;36;7566;0;0;;;Pennine;C;;;;Built;435G150;
01 - Vessel External;01:010 - Vessel Assembly with Roof Tracks K5-Expert;01:010:S003;421030;0;PLAIN WASHER M12;8;7566;0;0;;;Pennine;C;;;;Built;435G150;
01 - Vessel External;01:010 - Vessel Assembly with Roof Tracks K5-Expert;01:010:S004;421070;0;PLAIN WASHER M20;68;7566;0;0;;;Pennine;C;;;;Built;435G150;
01 - Vessel External;01:010 - Vessel Assembly with Roof Tracks K5-Expert;01:010:S006;421072;0;NUT FULL HEXAGON M20;16;7566;0;0;;;Pennine;C;;;;Built;435G150;
01 - Vessel External;01:010 - Vessel Assembly with Roof Tracks K5-Expert;01:010:S007;4211299;1;SOCKET CAP SCREW M20 x 90 GRADE 12.9;8;7566;0;0;;;Pennine;C;;;;Built;435G150;
01 - Vessel External;01:010 - Vessel Assembly with Roof Tracks K5-Expert;01:010:S008;4211428;1;SOCKET CAP SCREW M20 x 120 GRADE 12.9;8;7566;0;0;;;Pennine;C;;;;Built;435G150;
01 - Vessel External;01:010 - Vessel Assembly with Roof Tracks K5-Expert;01:010:S009;421019;1;Socket Head Capscrew M6 x 20 GRADE 12.9;16;7566;0;0;;;Pennine;C;;;;Built;435G150;
01 - Vessel External;01:010 - Vessel Assembly with Roof Tracks K5-Expert;01:010:S010;421034;0;WASHER PLAIN M6;20;7566;0;0;;;Pennine;C;;;;Built;435G150;
